Emission Factor Title,Sector,Unit Type,Emission Factor,Source
Cement CEM II/A-W - 13% fly ash calcareous - Portland-fly ash cement,Materials and Manufacturing,kg/kg,0.798,Circular Ecology
Cement CEM II/B-L- 28% limestone - Portland-limestone cement,Materials and Manufacturing,kg/kg,0.664,Circular Ecology
Cement CEM II/B-LL - 28% limestone - Portland-limestone cement,Materials and Manufacturing,kg/kg,0.664,Circular Ecology
Cement CEM II/B-M - 28% cement replacement- Portland-composite cement,Materials and Manufacturing,kg/kg,0.666,Circular Ecology
Cement CEM II/B-P 28% natural pozzolanic ash - Portland-pozzolana cement,Materials and Manufacturing,kg/kg,0.661,Circular Ecology
Cement CEM II/B-Q - 28% calcined pozzolanic ash - Portland-pozzolana cement,Materials and Manufacturing,kg/kg,0.0,Circular Ecology
Cement CEM II/B-S - 28% GGBs - Portland-slag cement,Materials and Manufacturing,kg/kg,0.672,Circular Ecology
Cement CEM II/B-T - 28% burnt shale - Portland-burnt shale cement,Materials and Manufacturing,kg/kg,0.0,Circular Ecology
Cement CEM II/B-V - 28% fly ash siliceous - Portland-fly ash cement,Materials and Manufacturing,kg/kg,0.661,Circular Ecology
Cement CEM II/B-W - 28% fly ash calcareous - Portland-fly ash cement,Materials and Manufacturing,kg/kg,0.661,Circular Ecology
Cement CEM III/A - 50.5% GGBS - Blast furnace cement,Materials and Manufacturing,kg/kg,0.475,Circular Ecology
Cement CEM III/B - 73% GGBS - Blast furnace cement,Materials and Manufacturing,kg/kg,0.278,Circular Ecology
Cement CEM III/C - 88% GGBS - Blast furnace cement,Materials and Manufacturing,kg/kg,0.147,Circular Ecology
Cement CEM IV/A - 23% cement replacement - Pozzolanic cement,Materials and Manufacturing,kg/kg,0.707,Circular Ecology
Cement CEM IV/B - 46% cement replacement - Pozzolanic cement,Materials and Manufacturing,kg/kg,0.501,Circular Ecology
Cement CEM V/A - 24% GGBS and 24% cement replacement - Composite cement,Materials and Manufacturing,kg/kg,0.489,Circular Ecology
Cement CEM V/B - 36% GGBS and 36% cement replacement - Composite cement,Materials and Manufacturing,kg/kg,0.284,Circular Ecology
1:1.5:3 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.3701,Circular Ecology
1:1.5:3 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.3405,Circular Ecology
1:1:2 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.497,Circular Ecology
1:2.5:5 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.2503,Circular Ecology
1:2.5:5 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.2312,Circular Ecology
1:2:4 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.2974,Circular Ecology
1:2:4 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.2742,Circular Ecology
1:3:6 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.2192,Circular Ecology
1:3:6 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.2028,Circular Ecology
1:4:8 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Materials and Manufacturing,kg/m3,0.1765,Circular Ecology
1:4:8 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.1638,Circular Ecology
1:1:2 cement:sand:aggregate with UK average cement replacement rate,Materials and Manufacturing,kg/m3,0.4564,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.09635,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1093,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1222,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1351,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1481,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.161,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1739,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1869,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2131,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2262,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2394,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2526,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2656,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2786,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2916,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3046,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3176,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3305,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3435,Circular Ecology
Concrete - 30% pfa cement replacement - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3565,Circular Ecology
Precast concrete pipe - DN600 unreinforced per kg,Materials and Manufacturing,kg/kg,0.149,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.08718,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.09828,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1094,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1205,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1316,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1427,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1538,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1649,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1761,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1874,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1987,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.21,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2214,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2326,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2437,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2549,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.266,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2772,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2884,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2995,Circular Ecology
Concrete - 40% pfa cement replacement - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3107,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.07991,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.08955,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.09919,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1088,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1185,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1281,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1378,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1474,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1572,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.167,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1769,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1868,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1967,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2064,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2161,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2258,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2355,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2452,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2549,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2646,Circular Ecology
Concrete - 50% ggbs cement replacement - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2743,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.06232,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.06845,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.07458,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.08071,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.08683,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.09296,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.09909,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1052,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1115,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1178,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1242,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1305,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1369,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1431,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1493,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1555,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1617,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1678,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.174,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1802,Circular Ecology
Concrete - 70% ggbs cement replacement - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1864,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1239,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1423,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1607,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1792,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1976,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.216,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2345,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2529,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2715,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2901,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3088,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3274,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3461,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3646,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3831,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4016,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4201,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4386,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4571,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4756,Circular Ecology
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4941,Circular Ecology
Concrete admixtures – Air entrainers - Europe,Materials and Manufacturing,kg/kg,0.527,Circular Ecology
Concrete admixtures – Hardening Accelerators,Materials and Manufacturing,kg/kg,2.28,Circular Ecology
Concrete admixtures – Plasticisers and Superplasticisers,Materials and Manufacturing,kg/kg,1.88,Circular Ecology
Concrete admixtures – Retarders,Materials and Manufacturing,kg/kg,1.31,Circular Ecology
Concrete admixtures – Set Accelerators,Materials and Manufacturing,kg/kg,1.33,Circular Ecology
Concrete admixtures – Water Resisting Admixtures,Materials and Manufacturing,kg/kg,2.67,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 100 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1158,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 120 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1326,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 140 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1494,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 160 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1662,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 180 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1831,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 200 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.1999,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 220 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2167,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 240 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2335,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 260 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2505,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 280 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2675,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 300 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.2845,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 320 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3016,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 340 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3187,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 360 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3355,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 380 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3524,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 400 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3693,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 420 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.3862,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 440 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4031,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 460 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4199,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 480 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4368,Circular Ecology
Concrete - average UK cement replacement rate - with total cementitious content of 500 kg per m3 of concrete,Materials and Manufacturing,kg/m3,0.4537,Circular Ecology
Concrete - average UK mix,Materials and Manufacturing,kg/m3,0.246,Circular Ecology
Concrete block - cellular - high density - average strength - 100 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.357,Circular Ecology
Concrete block - cellular - high density - average strength - 140 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.952,Circular Ecology
Concrete block - high density solid - average strength - per kg,Materials and Manufacturing,kg/kg,0.092,Circular Ecology
Concrete block - hollowcore - high density - average strength - 140 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.797,Circular Ecology
Concrete block - hollowcore - high density - average strength - 190 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,2.154,Circular Ecology
Concrete block - hollowcore - high density - average strength - 215 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,2.383,Circular Ecology
Concrete block - medium density solid - average strength - per kg,Materials and Manufacturing,kg/kg,0.092,Circular Ecology
Concrete block - solid - high density - average strength - 100 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.723,Circular Ecology
Concrete block - solid - high density - average strength - 140 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,2.438,Circular Ecology
Concrete block - solid - high density - average strength - 190 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,3.295,Circular Ecology
Concrete block - solid - high density - average strength - 215 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,3.712,Circular Ecology
Concrete block - solid - high density - average strength - 75 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.311,Circular Ecology
Concrete block - solid - high density - average strength - 90 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.577,Circular Ecology
Concrete block - solid - medium density - average strength - 100 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.265,Circular Ecology
Concrete block - solid - medium density - average strength - 140 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.769,Circular Ecology
Concrete block - solid - medium density - average strength - 190 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,2.246,Circular Ecology
Concrete block - solid - medium density - average strength - 75 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,0.917,Circular Ecology
Concrete block - solid - medium density - average strength - 90 mm thickness - 440 mm length - 215 mm width,Materials and Manufacturing,kg/number,1.054,Circular Ecology
100 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,18177999.0,Circular Ecology
140 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,25448999.0,Circular Ecology
150 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,27267000.0,Circular Ecology
215 mm thickness wall - single skin AAC concrete block - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,39082001.0,Circular Ecology
100 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,15850000.0,Circular Ecology
140 mm thickness wall - single skin concrete block - cellular - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,22722000.0,Circular Ecology
140 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,21164000.0,Circular Ecology
190 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,25881001.0,Circular Ecology
215 mm thickness wall - single skin concrete block - hollowcore - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,28743999.0,Circular Ecology
100 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,19517000.0,Circular Ecology
140 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,27580000.0,Circular Ecology
190 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,37292999.0,Circular Ecology
215 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,42035000.0,Circular Ecology
75 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,14821000.0,Circular Ecology
90 mm thickness wall - single skin concrete block - solid - high density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,17822001.0,Circular Ecology
100 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,14934000.0,Circular Ecology
140 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,20889000.0,Circular Ecology
190 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,26798000.0,Circular Ecology
75 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,10880000.0,Circular Ecology
90 mm thickness wall - single skin concrete block - solid - medium density - average strength - inc. mortar - Not inc. construction waste,Materials and Manufacturing,kg/m2,12597000.0,Circular Ecology
Concrete GEN0 with 14% limestone cement,Materials and Manufacturing,kg/m3,0.1456,Circular Ecology
